p_id,skill_id,rating
1,1,98
1,11,85
1,12,74
1,24,65
1,19,52
1,20,63
2,15,64
2,16,81
2,3,76
2,4,74
2,5,61
2,13,90
2,14,86
3,25,75
3,3,95
3,4,45
3,5,65
3,6,80
3,7,76
3,13,90
3,14,95
4,1,76
4,19,35
4,20,47
4,13,75
4,14,68
5,23,70
5,2,82
5,16,46
5,18,58
5,10,95
5,21,38
5,22,94
6,8,59
6,9,78
6,10,77
6,21,55
6,22,44
7,7,75
7,8,53
7,21,57
7,22,65
7,3,45
7,4,85
7,5,91
8,18,35
8,19,45
8,20,86
8,21,75
8,13,55
8,14,61
9,27,69
9,26,65
9,11,84
9,12,72
9,19,68
9,20,72
10,1,84
10,11,76
10,12,78
10,19,92
10,20,94
11,1,85
11,11,95
11,12,98
11,19,86
11,20,75
11,24,71
11,26,65
11,27,88
12,2,92
12,17,75
12,14,90
12,13,88
12,23,77
12,3,94
12,4,99
12,5,88
13,6,77
13,7,75
13,17,76
13,10,71
13,16,75
13,21,91
13,22,83
14,13,85
14,14,96
14,15,75
14,18,74
14,9,83
15,1,69
15,11,60
15,12,64
15,19,76
15,20,81
15,24,76
15,26,75
16,3,84
16,4,93
16,5,92
17,3,81
17,4,72
17,5,74
17,9,86
18,6,84
18,7,90
18,17,69
18,21,68
18,22,72
19,6,95
19,7,80
19,17,73
19,13,71
19,14,75
20,17,84
20,7,85
20,18,63
20,6,62
21,2,64
21,17,82
21,13,72
21,14,71
21,21,93
22,6,81
22,7,82
22,17,88
22,13,78
22,14,68
23,2,78
23,13,69
23,14,68
23,17,78
23,23,98
24,10,87
24,16,74
24,21,85
24,22,95
25,10,65
25,16,45
25,21,74
25,13,85
25,14,98
